Event_id,Event_name,Price,Event_type,Location_Province,Address,Latitude,Longitude,Date,Time,Description,Image_link,Ticket_info,Ticket_link
1,Exist simply main.,0,church,Free State,"982 Washington Cape, Reidmouth, Free State - Lat: -27.345324, Lon: 25.014585",-27.345323944416894,25.014584823050825,2025-04-27,19:42,"Political film free center man theory soldier. Join us for a serene and uplifting church service, where faith and community come together.",https://picsum.photos/200/300?music,Free,No entrance fee
2,Good city.,0,corporate,Gauteng,"487 Key Spurs, South Crystalmouth, Gauteng - Lat: -25.887944, Lon: 28.037071",-25.887944212189105,28.03707116433788,2025-06-09,10:55,"Mrs defense fish suffer million top near evening find man resource accept. Elevate your business connections at our corporate gathering, where innovation meets opportunity.",https://picsum.photos/200/300?music,Free,No entrance fee
3,Marriage possible.,391,sport,KwaZulu-Natal,"455 Andrew Brook, South Thomasfort, KwaZulu-Natal - Lat: -25.549035, Lon: 29.109139",-25.54903540438158,29.109139143975003,2025-01-07,23:23,"Trip whose mind inside dinner buy but. Prepare yourself for an adrenaline-pumping sport event, packed with intense competition and fun.",https://picsum.photos/200/300?night light,VIP,https://www.ticketmaster.co.za/
4,There special bit.,230,school,Western Cape,"397 Strong Ferry, Campbellmouth, Western Cape - Lat: -33.350769, Lon: 20.072959",-33.35076903855152,20.07295904859906,2024-10-14,08:42,Create happy them soon wall evening activity design not. Engage in an enriching school program designed to inspire and educate students of all ages.,https://picsum.photos/200/300?corporate,Early Bird,https://www.ticketmaster.co.za/
5,Food tree.,486,night light,Mpumalanga,"227 Kyle Track, Hamiltonfurt, Mpumalanga - Lat: -24.804921, Lon: 29.194658",-24.804921059922357,29.194657934585024,2025-01-25,13:25,"Among add garden recent part day nice part walk sea truth painting heart. Be amazed by a breathtaking display of lights at our night light event, where every moment is unforgettable.",https://picsum.photos/200/300?concert,General,https://www.ticketmaster.co.za/
6,Expert process degree.,230,corporate,Western Cape,"240 Alan Rapids, Murraychester, Western Cape - Lat: -33.694869, Lon: 19.673286",-33.694868901917395,19.673285603246264,2024-12-31,10:46,"Wait more leave mention despite amount stock doctor wife himself animal. Elevate your business connections at our corporate gathering, where innovation meets opportunity.",https://picsum.photos/200/300?church,VVIP,https://www.ticketmaster.co.za/
7,Senior hotel entire.,488,corporate,Gauteng,"874 Barker Villages, Spencerstad, Gauteng - Lat: -25.647135, Lon: 27.544265",-25.647135245184913,27.54426499884563,2025-02-20,09:37,"Reveal catch newspaper fact mention professor quality can treat end response opportunity. Elevate your business connections at our corporate gathering, where innovation meets opportunity.",https://picsum.photos/200/300?night light,VVIP,https://www.ticketmaster.co.za/
8,Check enjoy.,0,school,Gauteng,"917 Meghan Fork, East Traci, Gauteng - Lat: -26.392259, Lon: 27.855334",-26.392259328487352,27.855333822020302,2024-10-03,23:07,Throw laugh baby position still rate one there. Engage in an enriching school program designed to inspire and educate students of all ages.,https://picsum.photos/200/300?church,Free,No entrance fee
9,Part news.,459,music,Gauteng,"722 Emily Island, Juareztown, Gauteng - Lat: -25.869665, Lon: 27.755998",-25.869664829186537,27.755997509754874,2025-05-02,12:23,Reach share sometimes she central Mr hotel girl peace office recently. Experience the ultimate music extravaganza with live performances that will resonate with your soul.,https://picsum.photos/200/300?food,Early Bird,https://www.ticketmaster.co.za/
10,Stay professor.,398,night light,Western Cape,"465 Robinson Cliffs, West Donald, Western Cape - Lat: -32.173782, Lon: 20.533920",-32.17378216264144,20.533919908504366,2025-05-07,21:47,"Determine mean bar seek institution dark information enter evidence another past different. Be amazed by a breathtaking display of lights at our night light event, where every moment is unforgettable.",https://picsum.photos/200/300?lifestyle,VIP,https://www.ticketmaster.co.za/
